City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
468,Grande Prairie,CA,75.38,few clouds,55.1667,-118.8027,"Holiday Inn Express Grande Prairie, an IHG Hotel"
472,Gushikawa,JP,87.39,broken clouds,26.3544,127.8686,Kirari Guest House
473,Tautira,PF,78.82,broken clouds,-17.7333,-149.15,Pension Oaoa
477,Monrovia,LR,76.51,overcast clouds,6.3005,-10.7969,Sunset Inn
478,Bambanglipuro,ID,80.76,scattered clouds,-7.95,110.2833,Puri Brata
480,Kamaishi,JP,76.15,light rain,39.2667,141.8833,Hotel Route Inn Kamaishi
484,Russell,US,77.52,overcast clouds,32.3502,-85.1999,Macs
485,Axim,GH,75.6,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
487,Tagusao,PH,87.22,overcast clouds,9.1924,117.8141,Toledo
488,Nola,IT,81.57,few clouds,40.922,14.5329,Pamaran Hotel
493,Kismayo,SO,75.9,light rain,-0.3582,42.5454,Agan-Hotel
494,Kahului,US,78.84,light rain,20.8947,-156.47,Maui Seaside Hotel
495,Rincon,US,84.13,overcast clouds,32.296,-81.2354,Days Inn Rincon
497,Petropavlovsk-Kamchatskiy,RU,79.39,few clouds,53.0452,158.6483,The Hotel Petropavlovsky
501,Papara,BR,78.69,few clouds,-3.9839,-38.7273,Romin
503,Callaway,US,77.18,overcast clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
505,Makakilo City,US,83.61,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
512,Chifeng,CN,77.05,light rain,42.2683,118.9636,Junyu Tiancheng Hotel
516,Galle,LK,80.53,overcast clouds,6.0367,80.217,Amangalla
522,Vieques,PR,82.44,broken clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
524,Yurimaguas,PE,76.05,broken clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
526,Manaus,BR,82.89,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
534,Colimes,EC,77.86,broken clouds,-1.55,-80.0167,"Casa de Retiro ""JESÚS DE LA DIVINA MISERICORDIA"""
538,Cockburn Town,TC,81.66,few clouds,21.4612,-71.1419,Osprey Beach Hotel
542,Tangier,MA,76.35,clear sky,35.7806,-5.8137,Hotel Rembrandt
543,Salalah,OM,76.53,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
545,Acajutla,SV,81.81,light rain,13.5928,-89.8275,asi es
547,Mamallapuram,IN,84.25,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
551,Tiarei,PF,78.82,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
552,Tecoanapa,MX,81.84,overcast clouds,16.5167,-98.75,Hotel Manglares
553,Stonewall,CA,82.17,clear sky,50.1344,-97.3268,Rockwood Motor Inn & Motel
554,Kamiiso,JP,80.98,broken clouds,41.8167,140.65,ビジネス民宿あべ
555,Morant Bay,JM,83.82,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
556,Sola,VU,79.43,scattered clouds,-13.8833,167.55,Leumerus Bungalows
560,Mujiayingzi,CN,75.54,overcast clouds,42.1167,118.7833,Jinjiang Hotel
564,Najran,SA,81.25,few clouds,17.4924,44.1277,محمد هادي ال فطيح
571,Westport,US,79.99,scattered clouds,41.1415,-73.3579,The Westport Inn
574,Dingle,PH,86.5,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
